season,game_id,game_date,official_date,status,detailed_state,away_team,home_team,away_score,home_score,winner,home_win,away_probable_pitcher,home_probable_pitcher
2023,718376,2023-04-29T23:10:00Z,2023-04-29,Final,Final,Los Angeles Angels,Milwaukee Brewers,5,7,Milwaukee Brewers,1,Reid Detmers,Corbin Burnes
2023,718366,2023-04-30T00:10:00Z,2023-04-29,Final,Final,Arizona Diamondbacks,Colorado Rockies,11,4,Arizona Diamondbacks,0,Tommy Henry,Noah Davis
2023,718369,2023-04-30T01:10:00Z,2023-04-29,Final,Final,St. Louis Cardinals,Los Angeles Dodgers,0,1,Los Angeles Dodgers,1,Jordan Montgomery,Clayton Kershaw
2023,718371,2023-04-29T20:05:00Z,2023-08-12,Final,Postponed,Atlanta Braves,New York Mets,,,,,Spencer Strider,Tylor Megill
2023,718364,2023-04-30T16:05:00Z,2023-04-30,Final,Final,Chicago Cubs,Miami Marlins,3,4,Miami Marlins,1,Justin Steele,Bryan Hoeing
2023,718370,2023-04-30T17:35:00Z,2023-04-30,Final,Final,Cleveland Guardians,Boston Red Sox,1,7,Boston Red Sox,1,Logan Allen,Chris Sale
2023,718367,2023-04-30T17:35:00Z,2023-04-30,Final,Final,Pittsburgh Pirates,Washington Nationals,2,7,Washington Nationals,1,Johan Oviedo,Josiah Gray
2023,718363,2023-04-30T17:37:00Z,2023-04-30,Final,Final,Seattle Mariners,Toronto Blue Jays,10,8,Seattle Mariners,0,Marco Gonzales,Chris Bassitt
2023,718360,2023-04-30T17:40:00Z,2023-04-30,Final,Final,Baltimore Orioles,Detroit Tigers,5,3,Baltimore Orioles,0,Kyle Bradish,Spencer Turnbull
2023,718362,2023-04-30T18:10:00Z,2023-04-30,Final,Final,Kansas City Royals,Minnesota Twins,4,8,Minnesota Twins,1,Brady Singer,Sonny Gray
2023,718355,2023-04-30T18:10:00Z,2023-04-30,Final,Final,Tampa Bay Rays,Chicago White Sox,9,12,Chicago White Sox,1,Drew Rasmussen,Mike Clevinger
2023,718365,2023-04-30T18:10:00Z,2023-04-30,Final,Final,Los Angeles Angels,Milwaukee Brewers,3,0,Los Angeles Angels,0,José Suarez,Colin Rea
2023,718356,2023-04-30T18:35:00Z,2023-04-30,Final,Final,New York Yankees,Texas Rangers,2,15,Texas Rangers,1,Nestor Cortes,Martín Pérez
2023,718358,2023-04-30T19:10:00Z,2023-04-30,Final,Final,Arizona Diamondbacks,Colorado Rockies,4,12,Colorado Rockies,1,Ryne Nelson,Austin Gomber
2023,718368,2023-04-30T20:05:00Z,2023-04-30,Final,Final,San Francisco Giants,San Diego Padres,4,6,San Diego Padres,1,Alex Cobb,Yu Darvish
2023,718357,2023-04-30T20:07:00Z,2023-04-30,Final,Final,Cincinnati Reds,Oakland Athletics,4,5,Oakland Athletics,1,Nick Lodolo,Ken Waldichuk
2023,718359,2023-04-30T20:10:00Z,2023-04-30,Final,Final,St. Louis Cardinals,Los Angeles Dodgers,3,6,Los Angeles Dodgers,1,Jake Woodford,Noah Syndergaard
2023,718354,2023-04-30T23:10:00Z,2023-04-30,Final,Final,Philadelphia Phillies,Houston Astros,3,4,Houston Astros,1,Bailey Falter,José Urquidy
2023,718361,2023-04-30T17:40:00Z,2023-05-01,Final,Postponed,Atlanta Braves,New York Mets,,,,,Spencer Strider,Tylor Megill
2023,718352,2023-05-01T17:10:00Z,2023-05-01,Final,Final,Atlanta Braves,New York Mets,9,8,Atlanta Braves,0,Spencer Strider,Denyi Reyes
2023,718361,2023-05-01T17:15:00Z,2023-05-01,Final,Final,Atlanta Braves,New York Mets,3,5,New York Mets,1,Charlie Morton,Tylor Megill
2023,718349,2023-05-01T23:05:00Z,2023-05-01,Final,Final,Chicago Cubs,Washington Nationals,5,1,Chicago Cubs,0,Drew Smyly,MacKenzie Gore
2023,718351,2023-05-01T23:05:00Z,2023-05-01,Final,Final,Cleveland Guardians,New York Yankees,3,2,Cleveland Guardians,0,Cal Quantrill,Domingo Germán
2023,718353,2023-05-01T23:10:00Z,2023-05-01,Final,Final,Toronto Blue Jays,Boston Red Sox,5,6,Boston Red Sox,1,José Berríos,Corey Kluber
2023,718350,2023-05-02T00:10:00Z,2023-05-01,Final,Final,San Francisco Giants,Houston Astros,3,7,Houston Astros,1,Ross Stripling,Luis Garcia
2023,718345,2023-05-02T01:40:00Z,2023-05-01,Final,Final,Cincinnati Reds,San Diego Padres,3,8,San Diego Padres,1,Luke Weaver,Blake Snell
2023,718343,2023-05-02T02:10:00Z,2023-05-01,Final,Final,Philadelphia Phillies,Los Angeles Dodgers,4,13,Los Angeles Dodgers,1,Taijuan Walker,Tony Gonsolin
2023,718347,2023-05-02T22:40:00Z,2023-05-02,Final,Final,Pittsburgh Pirates,Tampa Bay Rays,1,4,Tampa Bay Rays,1,Roansy Contreras,Javy Guerra
2023,718346,2023-05-02T22:40:00Z,2023-05-02,Final,Final,Atlanta Braves,Miami Marlins,6,0,Atlanta Braves,0,Bryce Elder,Sandy Alcantara
2023,718344,2023-05-02T23:05:00Z,2023-05-02,Final,Final,Chicago Cubs,Washington Nationals,1,4,Washington Nationals,1,Hayden Wesneski,Trevor Williams
2023,718339,2023-05-02T23:05:00Z,2023-05-02,Final,Final,Cleveland Guardians,New York Yankees,2,4,New York Yankees,1,Tanner Bibee,Gerrit Cole
2023,718341,2023-05-02T23:10:00Z,2023-05-02,Final,Final,Toronto Blue Jays,Boston Red Sox,6,7,Boston Red Sox,1,Yusei Kikuchi,Tanner Houck
2023,718340,2023-05-02T23:10:00Z,2023-05-02,Final,Final,Minnesota Twins,Chicago White Sox,2,3,Chicago White Sox,1,Joe Ryan,Michael Kopech
2023,718336,2023-05-02T23:40:00Z,2023-05-02,Final,Final,Baltimore Orioles,Kansas City Royals,11,7,Baltimore Orioles,0,Tyler Wells,Ryan Yarbrough
2023,718338,2023-05-02T23:45:00Z,2023-05-02,Final,Final,Los Angeles Angels,St. Louis Cardinals,5,1,Los Angeles Angels,0,Patrick Sandoval,Steven Matz
2023,718342,2023-05-03T00:05:00Z,2023-05-02,Final,Final,Arizona Diamondbacks,Texas Rangers,4,6,Texas Rangers,1,Zac Gallen,Jon Gray
2023,718337,2023-05-03T00:10:00Z,2023-05-02,Final,Final,San Francisco Giants,Houston Astros,2,0,San Francisco Giants,0,Anthony DeSclafani,Hunter Brown
2023,718334,2023-05-03T00:40:00Z,2023-05-02,Final,Final,Milwaukee Brewers,Colorado Rockies,2,3,Colorado Rockies,1,Freddy Peralta,Ryan Feltner
2023,718335,2023-05-03T01:40:00Z,2023-05-02,Final,Final,Cincinnati Reds,San Diego Padres,2,1,Cincinnati Reds,0,Graham Ashcraft,Michael Wacha
2023,718332,2023-05-03T01:40:00Z,2023-05-02,Final,Final,Seattle Mariners,Oakland Athletics,2,1,Seattle Mariners,0,Bryce Miller,Mason Miller
2023,718331,2023-05-03T02:10:00Z,2023-05-02,Final,Final,Philadelphia Phillies,Los Angeles Dodgers,1,13,Los Angeles Dodgers,1,Matt Strahm,Julio Urías
2023,718348,2023-05-02T22:40:00Z,2023-05-03,Final,Postponed,New York Mets,Detroit Tigers,,,,,Joey Lucchesi,Michael Lorenzen
2023,718348,2023-05-03T17:40:00Z,2023-05-03,Final,Final,New York Mets,Detroit Tigers,5,6,Detroit Tigers,1,Joey Lucchesi,Joey Wentz
2023,718329,2023-05-03T22:40:00Z,2023-05-03,Final,Final,New York Mets,Detroit Tigers,1,8,Detroit Tigers,1,Max Scherzer,Michael Lorenzen
2023,718325,2023-05-03T18:05:00Z,2023-05-03,Final,Final,Arizona Diamondbacks,Texas Rangers,12,7,Arizona Diamondbacks,0,Brandon Pfaadt,Andrew Heaney
2023,718326,2023-05-03T18:10:00Z,2023-05-03,Final,Final,San Francisco Giants,Houston Astros,4,2,San Francisco Giants,0,Logan Webb,Framber Valdez
2023,718330,2023-05-03T20:10:00Z,2023-05-03,Final,Final,Cincinnati Reds,San Diego Padres,1,7,San Diego Padres,1,Luis Cessa,Seth Lugo
2023,718327,2023-05-03T20:10:00Z,2023-05-03,Final,Final,Philadelphia Phillies,Los Angeles Dodgers,6,10,Los Angeles Dodgers,1,Aaron Nola,Gavin Stone
2023,718328,2023-05-03T22:40:00Z,2023-05-03,Final,Final,Pittsburgh Pirates,Tampa Bay Rays,1,8,Tampa Bay Rays,1,Mitch Keller,Shane McClanahan
2023,718321,2023-05-03T22:40:00Z,2023-05-03,Final,Final,Atlanta Braves,Miami Marlins,14,6,Atlanta Braves,0,Kyle Wright,Braxton Garrett
2023,718333,2023-05-03T23:05:00Z,2023-05-03,Final,Final,Chicago Cubs,Washington Nationals,1,2,Washington Nationals,1,Marcus Stroman,Jake Irvin
2023,718324,2023-05-03T23:05:00Z,2023-05-03,Final,Final,Cleveland Guardians,New York Yankees,3,4,New York Yankees,1,Shane Bieber,Clarke Schmidt
2023,718323,2023-05-03T23:10:00Z,2023-05-03,Final,Final,Toronto Blue Jays,Boston Red Sox,3,8,Boston Red Sox,1,Alek Manoah,Nick Pivetta
2023,718322,2023-05-03T23:10:00Z,2023-05-03,Final,Final,Minnesota Twins,Chicago White Sox,4,6,Chicago White Sox,1,Louis Varland,Dylan Cease
2023,718314,2023-05-03T23:40:00Z,2023-05-03,Final,Final,Baltimore Orioles,Kansas City Royals,0,6,Kansas City Royals,1,Kyle Gibson,Zack Greinke
2023,718320,2023-05-03T23:45:00Z,2023-05-03,Final,Final,Los Angeles Angels,St. Louis Cardinals,6,4,Los Angeles Angels,0,Shohei Ohtani,Miles Mikolas
2023,718315,2023-05-04T00:40:00Z,2023-05-03,Final,Final,Milwaukee Brewers,Colorado Rockies,1,7,Colorado Rockies,1,Eric Lauer,Kyle Freeland
2023,718319,2023-05-04T01:40:00Z,2023-05-03,Final,Final,Seattle Mariners,Oakland Athletics,7,2,Seattle Mariners,0,Logan Gilbert,JP Sears
2023,718317,2023-05-04T17:05:00Z,2023-05-04,Final,Final,Chicago Cubs,Washington Nationals,3,4,Washington Nationals,1,Jameson Taillon,Patrick Corbin
2023,718318,2023-05-04T17:10:00Z,2023-05-04,Final,Final,New York Mets,Detroit Tigers,0,2,Detroit Tigers,1,Justin Verlander,Eduardo Rodriguez
2023,718309,2023-05-04T17:10:00Z,2023-05-04,Final,Final,Pittsburgh Pirates,Tampa Bay Rays,2,3,Tampa Bay Rays,1,Vince Velasquez,Zach Eflin
2023,718311,2023-05-04T17:15:00Z,2023-05-04,Final,Final,Los Angeles Angels,St. Louis Cardinals,11,7,Los Angeles Angels,0,Griffin Canning,Jack Flaherty
2023,718312,2023-05-04T18:10:00Z,2023-05-04,Final,Final,Baltimore Orioles,Kansas City Royals,13,10,Baltimore Orioles,0,Grayson Rodriguez,Jordan Lyles
2023,718310,2023-05-04T18:10:00Z,2023-05-04,Final,Final,Minnesota Twins,Chicago White Sox,7,3,Minnesota Twins,0,Pablo López,Lucas Giolito
2023,718313,2023-05-04T19:10:00Z,2023-05-04,Final,Final,Milwaukee Brewers,Colorado Rockies,6,9,Colorado Rockies,1,Wade Miley,Connor Seabold
2023,718304,2023-05-04T19:37:00Z,2023-05-04,Final,Final,Seattle Mariners,Oakland Athletics,5,3,Seattle Mariners,0,George Kirby,Drew Rucinski
2023,718308,2023-05-04T20:10:00Z,2023-05-04,Final,Final,Atlanta Braves,Miami Marlins,6,3,Atlanta Braves,0,Dylan Dodd,Jesús Luzardo
2023,718316,2023-05-04T22:10:00Z,2023-05-04,Final,Final,Toronto Blue Jays,Boston Red Sox,5,11,Boston Red Sox,1,Kevin Gausman,Brayan Bello
